kind,sl,tp,n,exp,net,win,p_tp,p_sl,p_eod,pf
F_S,15,75,116,0.7934137931034481,92.03599999999997,31.03448275862069,8.620689655172415,64.65517241379311,26.72413793103448,1.0790223605908218
A_S,18,3,101,-1.2821386138613857,-129.49599999999995,79.20792079207921,79.20792079207921,20.792079207920793,0.0,0.6602153697600704
F_L,18,3,104,-1.7924807692307694,-186.418,75.96153846153845,75.96153846153845,22.115384615384613,1.9230769230769231,0.5704684069004131
A_L,18,3,134,-1.3565223880597017,-181.77400000000003,78.35820895522389,78.35820895522389,20.8955223880597,0.7462686567164178,0.6440047942844608
F_S,18,3,116,-0.6929827586206897,-80.38600000000001,81.03448275862068,81.03448275862068,18.96551724137931,0.0,0.7989118334980173
A_S,18,4,101,-1.3364851485148512,-134.98499999999999,75.24752475247524,75.24752475247524,24.752475247524753,0.0,0.7023917136646044
F_L,18,4,104,-1.4677115384615387,-152.64200000000002,74.03846153846155,74.03846153846155,24.03846153846154,1.9230769230769231,0.6754942249188428
A_L,18,4,134,-0.909992537313433,-121.93900000000002,76.86567164179104,76.86567164179104,22.388059701492537,0.7462686567164178,0.7770963425512935
F_S,18,4,116,-0.03925000000000008,-4.55300000000001,80.17241379310344,80.17241379310344,19.82758620689655,0.0,0.9891023109419689
A_S,18,5,101,-0.6704257425742572,-67.71299999999998,75.24752475247524,74.25742574257426,24.752475247524753,0.9900990099009901,0.85070970928156
F_L,18,5,104,-1.3575961538461538,-141.19,71.15384615384616,71.15384615384616,26.923076923076923,1.9230769230769231,0.7308138880891961
A_L,18,5,134,-0.6723358208955226,-90.09300000000002,74.6268656716418,74.6268656716418,24.62686567164179,0.7462686567164178,0.8505238707536605
F_S,18,5,116,0.5238793103448277,60.77000000000001,79.3103448275862,79.3103448275862,20.689655172413794,0.0,1.1393759389011846
A_S,18,6,101,0.12042574257425738,12.162999999999995,75.24752475247524,74.25742574257426,24.752475247524753,0.9900990099009901,1.0268163839441227
F_L,18,6,104,-1.3834999999999995,-143.88399999999996,68.26923076923077,68.26923076923077,29.807692307692307,1.9230769230769231,0.7515433138033986
A_L,18,6,134,-1.1298955223880598,-151.406,69.40298507462687,69.40298507462687,29.850746268656714,0.7462686567164178,0.7925373972833617
F_S,18,6,116,0.2561293103448275,29.710999999999988,75.0,75.0,25.0,0.0,1.056455597105679
A_S,18,8,101,-0.2316633663366339,-23.398000000000025,67.32673267326733,66.33663366336634,31.683168316831683,1.9801980198019802,0.9601387426616652
F_L,18,8,104,-1.5195000000000003,-158.02800000000002,62.5,62.5,35.57692307692308,1.9230769230769231,0.7703074718240459
A_L,18,8,134,-0.5392835820895526,-72.26400000000005,66.4179104477612,66.4179104477612,32.83582089552239,0.7462686567164178,0.9099300769029429
F_S,18,8,116,-0.5072155172413794,-58.837,66.37931034482759,66.37931034482759,32.758620689655174,0.8620689655172413,0.9164841497740955
A_S,18,10,101,-0.6338217821782183,-64.01600000000005,61.386138613861384,60.396039603960396,36.633663366336634,2.9702970297029703,0.9076092211816426
F_L,18,10,104,-1.6292884615384617,-169.44600000000003,57.692307692307686,57.692307692307686,40.38461538461539,1.9230769230769231,0.7826545376185197
A_L,18,10,134,-0.33576119402985044,-44.99199999999996,62.68656716417911,61.940298507462686,36.56716417910448,1.4925373134328357,0.9496694372042551
F_S,18,10,116,0.16807758620689656,19.497,62.93103448275862,62.93103448275862,34.48275862068966,2.586206896551724,1.0261007859553488
A_S,18,12,101,-0.3324653465346533,-33.578999999999986,58.415841584158414,57.42574257425742,39.603960396039604,2.9702970297029703,0.955084870453846
F_L,18,12,104,-1.3809999999999998,-143.62399999999997,54.807692307692314,53.84615384615385,43.269230769230774,2.8846153846153846,0.827987587473936
A_L,18,12,134,0.3352313432835821,44.92100000000001,60.447761194029844,59.70149253731343,38.059701492537314,2.2388059701492535,1.048256488484015
F_S,18,12,116,0.39846551724137946,46.222000000000016,59.48275862068966,58.620689655172406,37.06896551724138,4.310344827586207,1.0571616546235003
A_S,18,15,101,-0.6496831683168316,-65.618,52.475247524752476,50.495049504950494,45.54455445544555,3.9603960396039604,0.9233351286997303
F_L,18,15,104,-1.6318653846153846,-169.714,50.0,46.15384615384615,48.07692307692308,5.769230769230769,0.8166185829902642
A_L,18,15,134,1.6310970149253732,218.567,58.95522388059702,58.2089552238806,39.55223880597015,2.2388059701492535,1.2259197853334627
F_S,18,15,116,1.1825258620689656,137.173,56.03448275862068,55.172413793103445,39.6551724137931,5.172413793103448,1.1582133139872182
A_S,18,18,101,0.8515445544554456,86.00600000000001,52.475247524752476,49.504950495049506,45.54455445544555,4.9504950495049505,1.1004852162676553
F_L,18,18,104,-2.679355769230769,-278.65299999999996,43.269230769230774,39.42307692307692,54.807692307692314,5.769230769230769,0.7352005146738102
A_L,18,18,134,2.480656716417911,332.4080000000001,56.71641791044776,55.223880597014926,41.7910447761194,2.9850746268656714,1.3252339886777464
F_S,18,18,116,0.406698275862069,47.17700000000001,50.0,47.41379310344828,45.689655172413794,6.896551724137931,1.0474743317396857
A_S,18,20,101,0.08789108910891102,8.877000000000013,48.51485148514851,43.56435643564357,48.51485148514851,7.920792079207921,1.0096450655010447
F_L,18,20,104,-2.280307692307692,-237.152,42.30769230769231,38.46153846153847,55.769230769230774,5.769230769230769,0.7784613774980685
A_L,18,20,134,2.704007462686567,362.337,54.47761194029851,52.98507462686567,44.02985074626866,2.9850746268656714,1.3366771509410293
F_S,18,20,116,1.2572500000000004,145.84100000000004,50.0,47.41379310344828,45.689655172413794,6.896551724137931,1.1467601588750345
A_S,18,22,101,0.01558415841584146,1.5739999999999874,46.53465346534654,40.5940594059406,49.504950495049506,9.900990099009901,1.0016519089833835
F_L,18,22,104,-2.277067307692308,-236.815,40.38461538461539,34.61538461538461,56.730769230769226,8.653846153846153,0.7830981116625924
A_L,18,22,134,3.538597014925373,474.172,54.47761194029851,50.74626865671642,44.02985074626866,5.223880597014925,1.440592260840074
F_S,18,22,116,0.07794827586206907,9.042000000000012,44.827586206896555,41.37931034482759,50.0,8.620689655172415,1.0082989836911476
A_S,18,25,101,0.7773663366336637,78.51400000000004,46.53465346534654,38.613861386138616,49.504950495049506,11.881188118811881,1.08240024264381
F_L,18,25,104,-1.8020673076923077,-187.415,39.42307692307692,32.69230769230769,57.692307692307686,9.615384615384617,0.8311419888512178
A_L,18,25,134,4.292037313432836,575.133,52.98507462686567,48.507462686567166,45.52238805970149,5.970149253731343,1.5167867431274273
F_S,18,25,116,0.6095000000000003,70.70200000000003,43.96551724137931,38.793103448275865,50.86206896551724,10.344827586206897,1.0638323036489918
A_S,18,30,101,0.03146534653465393,3.178000000000047,40.5940594059406,32.67326732673268,54.45544554455446,12.871287128712872,1.0030415907385573
F_L,18,30,104,-0.39101923076923045,-40.66599999999997,39.42307692307692,30.76923076923077,57.692307692307686,11.538461538461538,0.9633605640883792
A_L,18,30,134,3.2364179104477606,433.67999999999995,46.26865671641791,38.80597014925373,50.74626865671642,10.44776119402985,1.348800736078292
F_S,18,30,116,1.9661206896551728,228.07000000000005,43.96551724137931,36.206896551724135,50.86206896551724,12.931034482758621,1.2059097832200725
A_S,18,35,101,-0.693267326732673,-70.01999999999997,36.633663366336634,26.732673267326735,57.42574257425742,15.841584158415841,0.9367377380805026
F_L,18,35,104,-0.33717307692307696,-35.066,37.5,25.0,59.61538461538461,15.384615384615385,0.9694101246851904
A_L,18,35,134,2.9046417910447766,389.2220000000001,43.28358208955223,32.08955223880597,53.73134328358209,14.17910447761194,1.2953269354505834
F_S,18,35,116,2.2457931034482757,260.512,43.103448275862064,30.17241379310345,51.724137931034484,18.103448275862068,1.2312371460703477
A_S,18,40,101,-0.9753564356435648,-98.51100000000004,34.65346534653465,22.772277227722775,59.4059405940594,17.82178217821782,0.9138076909952658
F_L,18,40,104,0.28465384615384604,29.603999999999985,37.5,22.115384615384613,59.61538461538461,18.269230769230766,1.0258250917931795
A_L,18,40,134,2.6841641791044775,359.678,41.04477611940299,26.119402985074625,55.223880597014926,18.65671641791045,1.2648970432382314
F_S,18,40,116,2.3214051724137934,269.283,41.37931034482759,25.0,52.58620689655172,22.413793103448278,1.234671121603568
A_S,18,50,101,-1.6753267326732673,-169.208,33.663366336633665,13.861386138613863,60.396039603960396,25.742574257425744,0.8542517793448703
F_L,18,50,104,1.0688173076923073,111.15699999999997,37.5,16.346153846153847,59.61538461538461,24.03846153846154,1.096967968127768
A_L,18,50,134,4.289059701492537,574.7339999999999,41.04477611940299,20.149253731343283,55.223880597014926,24.62686567164179,1.4232823170960738
F_S,18,50,116,2.4190344827586205,280.608,38.793103448275865,18.96551724137931,54.310344827586206,26.72413793103448,1.2355297295346366
A_S,18,60,101,-0.5003168316831683,-50.532,33.663366336633665,12.871287128712872,60.396039603960396,26.732673267326735,0.9564739900823542
F_L,18,60,104,2.527538461538462,262.86400000000003,37.5,14.423076923076922,59.61538461538461,25.961538461538463,1.2293097868234801
A_L,18,60,134,4.882216417910448,654.2170000000001,40.298507462686565,14.925373134328357,55.970149253731336,29.1044776119403,1.4755106045849022
F_S,18,60,116,1.7861034482758618,207.18799999999996,36.206896551724135,12.931034482758621,56.03448275862068,31.03448275862069,1.1672914891984967
A_S,18,75,101,-0.04334653465346524,-4.3779999999999895,32.67326732673268,7.920792079207921,61.386138613861384,30.693069306930692,0.9962870331970443
F_L,18,75,104,2.0063076923076926,208.656,37.5,6.730769230769231,59.61538461538461,33.65384615384615,1.182021360397164
A_L,18,75,134,5.654111940298508,757.6510000000001,39.55223880597015,11.194029850746269,56.71641791044776,32.08955223880597,1.543560468825218
F_S,18,75,116,1.7785086206896552,206.30700000000002,36.206896551724135,8.620689655172415,56.03448275862068,35.3448275862069,1.1665801362148112
A_S,20,3,101,-1.4604851485148516,-147.50900000000001,80.19801980198021,80.19801980198021,19.801980198019802,0.0,0.6332127360660426
F_L,20,3,104,-1.9882403846153847,-206.77700000000002,76.92307692307693,76.92307692307693,20.192307692307693,2.8846153846153846,0.5478920417524848
A_L,20,3,134,-1.7140000000000004,-229.67600000000004,78.35820895522389,78.35820895522389,20.149253731343283,1.4925373134328357,0.5887701204991853
F_S,20,3,116,-1.080586206896552,-125.34800000000003,81.03448275862068,81.03448275862068,18.96551724137931,0.0,0.7181398507365357
A_S,20,4,101,-1.5882673267326732,-160.415,76.23762376237624,76.23762376237624,23.762376237623762,0.0,0.6678750962740891
F_L,20,4,104,-1.691355769230769,-175.90099999999998,75.0,75.0,22.115384615384613,2.8846153846153846,0.6465452455682773
A_L,20,4,134,-1.1158283582089554,-149.52100000000002,77.61194029850746,77.61194029850746,20.8955223880597,1.4925373134328357,0.7416751611064081
F_S,20,4,116,-0.4475431034482759,-51.915000000000006,80.17241379310344,80.17241379310344,19.82758620689655,0.0,0.8883925212347659
A_S,20,5,101,-0.9121089108910893,-92.12300000000002,76.23762376237624,75.24752475247524,23.762376237623762,0.9900990099009901,0.8092675715740917
F_L,20,5,104,-1.6439326923076922,-170.969,72.11538461538461,72.11538461538461,25.0,2.8846153846153846,0.6943264934679493
A_L,20,5,134,-0.9282462686567163,-124.38499999999999,75.3731343283582,75.3731343283582,23.134328358208954,1.4925373134328357,0.8062680769476378
F_S,20,5,116,0.09998275862068946,11.597999999999978,79.3103448275862,79.3103448275862,20.689655172413794,0.0,1.0239041853965583
A_S,20,6,101,-0.11145544554455473,-11.257000000000028,76.23762376237624,75.24752475247524,23.762376237623762,0.9900990099009901,0.9766933887651243
F_L,20,6,104,-1.7168461538461544,-178.55200000000005,69.23076923076923,69.23076923076923,27.884615384615387,2.8846153846153846,0.7120542373756026
A_L,20,6,134,-1.4847611940298509,-198.95800000000003,70.1492537313433,70.1492537313433,28.35820895522388,1.4925373134328357,0.7460167919617132
F_S,20,6,116,-0.25656034482758633,-29.761000000000017,75.0,75.0,25.0,0.0,0.9491911142068887
A_S,20,8,101,-0.5815346534653466,-58.73500000000001,68.31683168316832,67.32673267326733,30.693069306930692,1.9801980198019802,0.9068471729024951
F_L,20,8,104,-1.7108269230769229,-177.926,64.42307692307693,64.42307692307693,32.69230769230769,2.8846153846153846,0.7543768101537024
A_L,20,8,134,-0.9508880597014926,-127.41900000000001,67.16417910447761,67.16417910447761,31.343283582089555,1.4925373134328357,0.8527841483492679
F_S,20,8,116,-1.1605603448275863,-134.625,66.37931034482759,66.37931034482759,32.758620689655174,0.8620689655172413,0.8274677715564361
A_S,20,10,101,-0.6486138613861389,-65.51000000000002,63.366336633663366,62.37623762376238,33.663366336633665,3.9603960396039604,0.9083079877445387
F_L,20,10,104,-1.2697115384615385,-132.05,61.53846153846154,61.53846153846154,35.57692307692308,2.8846153846153846,0.8316689314769538
A_L,20,10,134,-0.8096641791044779,-108.49500000000003,63.43283582089553,62.68656716417911,35.07462686567165,2.2388059701492535,0.8878584946712242
F_S,20,10,116,-0.5177068965517244,-60.05400000000004,62.93103448275862,62.93103448275862,34.48275862068966,2.586206896551724,0.9273428993152175
A_S,20,12,101,-0.36811881188118856,-37.18000000000004,60.396039603960396,59.4059405940594,36.633663366336634,3.9603960396039604,0.9520812685188884
F_L,20,12,104,-1.0198846153846155,-106.06800000000001,58.65384615384615,57.692307692307686,38.46153846153847,3.8461538461538463,0.8745518992611586
A_L,20,12,134,-0.15285074626865672,-20.482,61.19402985074627,60.447761194029844,36.56716417910448,2.9850746268656714,0.9796902872928944
F_S,20,12,116,-0.051370689655172545,-5.959000000000016,60.3448275862069,59.48275862068966,36.206896551724135,4.310344827586207,0.9931727045668063
A_S,20,15,101,-1.1032178217821784,-111.42500000000001,53.46534653465347,51.48514851485149,43.56435643564357,4.9504950495049505,0.8784649885363881
