branch,sl,tp,pf,wr,total_pnl
flipshort,40,10,4.166666666666667,0.5882352941176471,760
flipshort,40,15,4.75,0.4470588235294118,900
flipshort,40,20,4.5,0.3176470588235294,840
flipshort,40,25,4.0625,0.22941176470588234,735
flipshort,40,30,3.125,0.14705882352941177,510
flipshort,40,39,2.1125,0.07647058823529412,267
flipshort,40,45,0.1875,0.0058823529411764705,-195
flipshort,40,50,0.20833333333333334,0.0058823529411764705,-190
flipshort,40,60,0.25,0.0058823529411764705,-180
flipshort,40,75,0.0,0.0,-240
flipshort,40,100,0.0,0.0,-240
flipshort,50,10,10.1,0.5941176470588235,910
flipshort,50,15,11.55,0.45294117647058824,1055
flipshort,50,20,10.8,0.3176470588235294,980
flipshort,50,25,9.75,0.22941176470588234,875
flipshort,50,30,7.5,0.14705882352941177,650
flipshort,50,39,5.07,0.07647058823529412,407
flipshort,50,45,0.45,0.0058823529411764705,-55
flipshort,50,50,0.5,0.0058823529411764705,-50
flipshort,50,60,0.6,0.0058823529411764705,-40
flipshort,50,75,0.0,0.0,-100
flipshort,50,100,0.0,0.0,-100
along,5,10,0.35543766578249336,0.15056179775280898,-1215
along,5,15,0.53315649867374,0.15056179775280898,-880
along,5,20,0.6790450928381963,0.14382022471910114,-605
along,5,25,0.7427055702917772,0.1258426966292135,-485
along,5,30,0.7798408488063661,0.1101123595505618,-415
along,5,39,0.7034482758620689,0.07640449438202247,-559
along,5,45,0.023872679045092837,0.0022471910112359553,-1840
along,5,50,0.026525198938992044,0.0022471910112359553,-1835
along,5,60,0.0,0.0,-1885
along,5,75,0.0,0.0,-1885
along,5,100,0.0,0.0,-1885
along,8,10,0.3654970760233918,0.2247191011235955,-1736
along,8,15,0.5208333333333334,0.21348314606741572,-1311
along,8,20,0.6578947368421053,0.20224719101123595,-936
along,8,25,0.7035818713450293,0.17303370786516853,-811
along,8,30,0.6798245614035088,0.1393258426966292,-876
along,8,39,0.5986842105263158,0.09438202247191012,-1098
along,8,45,0.01644736842105263,0.0022471910112359553,-2691
along,8,50,0.01827485380116959,0.0022471910112359553,-2686
along,8,60,0.0,0.0,-2736
along,8,75,0.0,0.0,-2736
along,8,100,0.0,0.0,-2736
along,10,10,0.38170347003154576,0.27191011235955054,-1960
along,10,15,0.5394321766561514,0.25617977528089886,-1460
along,10,20,0.6624605678233438,0.23595505617977527,-1070
along,10,25,0.7097791798107256,0.20224719101123595,-920
along,10,30,0.6813880126182965,0.16179775280898875,-1010
