cell,horizon,n,mean_ret,med_ret,mfe,mae,mfe_mae,p_mfe_gt1,p_mae_gt1,winrate,low_conf,family,event,tol,src,cut
R500|touch|above_ema,32,410,-0.6470563237171179,-0.3053185949554989,2.7618281009455385,3.8037088186002888,0.7260882030296558,0.7292682926829268,0.8439024390243902,0.4268292682926829,False,R500,touch,0.75,real,above_ema
R500|touch|above_ema,64,410,-0.9208781822976987,-0.3288900738485189,4.233349233596428,5.513532113754622,0.7678107511218591,0.8341463414634146,0.8829268292682927,0.45365853658536587,False,R500,touch,0.75,real,above_ema
R500|touch|below_ema,4,248,0.03536630954648811,0.011245602540741547,1.0689440080482873,1.0334391914340966,1.034355980408408,0.3709677419354839,0.36693548387096775,0.5080645161290323,False,R500,touch,0.75,real,below_ema
R500|touch|below_ema,8,248,0.404476127515924,0.1634932943898933,1.6612157955175082,1.332036658643443,1.2471246828967184,0.5685483870967742,0.5362903225806451,0.5604838709677419,False,R500,touch,0.75,real,below_ema
R500|touch|below_ema,16,247,0.424180138348372,0.24951358095513254,2.343857682404747,1.872453988287958,1.2517571577541446,0.7044534412955465,0.6761133603238867,0.5384615384615384,False,R500,touch,0.75,real,below_ema
R500|touch|below_ema,32,243,0.6959479825145597,0.366333233623265,3.026790029617858,2.535194264601639,1.1939085189171745,0.8065843621399177,0.7407407407407407,0.5720164609053497,False,R500,touch,0.75,real,below_ema
R500|touch|below_ema,64,243,1.0497466656344947,0.24739727346813575,4.404097619343447,3.427738332583004,1.284840671027738,0.9012345679012346,0.7942386831275721,0.551440329218107,False,R500,touch,0.75,real,below_ema
R500|sweep,4,97,0.14301529688377987,0.15899589874817235,1.450112010196688,1.2940973722798084,1.1205586544403756,0.5154639175257731,0.5360824742268041,0.5257731958762887,True,R500,sweep,0.75,real,all
R500|sweep,8,97,0.09201693301591465,0.07912070030433592,1.7583035740474757,1.7306794249138093,1.015961447704298,0.6082474226804123,0.5979381443298969,0.5051546391752577,True,R500,sweep,0.75,real,all
R500|sweep,16,97,0.023564635766263987,0.23449956477168876,2.4237993467912413,2.5440655317216967,0.9527267739644013,0.7422680412371134,0.6597938144329897,0.5463917525773195,True,R500,sweep,0.75,real,all
R500|sweep,32,97,-0.427663989297842,-0.3957999166204528,3.460007013038861,3.9210857221376814,0.882410449101977,0.7835051546391752,0.7835051546391752,0.4742268041237113,True,R500,sweep,0.75,real,all
R500|sweep,64,97,-0.9491183088904752,-0.03830948248897892,4.518518050022013,5.764262997379528,0.783884783202321,0.8762886597938144,0.8247422680412371,0.4845360824742268,True,R500,sweep,0.75,real,all
R500|sweep|T1,4,4,0.36443914641807196,-0.00013915075511583552,1.9620622093165088,1.610022630160208,1.2186550502841507,0.5,0.75,0.5,True,R500,sweep,0.75,real,touch1
R500|sweep|T1,8,4,0.9119999926785156,-0.08936386142474262,2.122748980517732,1.610022630160208,1.31845909538955,0.5,0.75,0.5,True,R500,sweep,0.75,real,touch1
R500|sweep|T1,16,4,-0.2980118781205635,1.0731924071675776,3.0049413919755263,3.747646952930553,0.8018208304348807,0.75,0.75,0.5,True,R500,sweep,0.75,real,touch1
R500|sweep|T1,32,4,-0.6246130993041603,-1.1282060718597102,4.098282479183279,4.341067329844973,0.944072544327396,1.0,0.75,0.5,True,R500,sweep,0.75,real,touch1
R500|sweep|T1,64,4,0.0076528740650566585,-1.0937084851379237,4.8255598456667474,4.986837606086648,0.9676593117403595,1.0,0.75,0.25,True,R500,sweep,0.75,real,touch1
R500|sweep|T2,4,7,0.42134745747271346,0.4572822090539195,1.4343551153530174,1.0516534206720305,1.3639047685847223,0.8571428571428571,0.5714285714285714,0.7142857142857143,True,R500,sweep,0.75,real,touch2
R500|sweep|T2,8,7,0.02547405770069758,-0.22390966711671534,1.605528153941356,1.0931234602218998,1.4687528100581064,0.8571428571428571,0.5714285714285714,0.42857142857142855,True,R500,sweep,0.75,real,touch2
R500|sweep|T2,16,7,-0.14694207101610304,-0.39688623858592215,2.157121713826656,2.7830446349117124,0.7750941852555259,0.8571428571428571,0.7142857142857143,0.42857142857142855,True,R500,sweep,0.75,real,touch2
R500|sweep|T2,32,7,-0.6610605503191541,-1.1482993736913762,3.9592630805063576,3.995046450506737,0.9910430653451249,0.8571428571428571,0.8571428571428571,0.2857142857142857,True,R500,sweep,0.75,real,touch2
R500|sweep|T2,64,7,-0.7730194480565128,-0.03830948248897892,4.567012768079508,4.995391406686667,0.9142452305071138,1.0,1.0,0.42857142857142855,True,R500,sweep,0.75,real,touch2
R500|sweep|T3,4,86,0.11006156988076002,0.13325165387094412,1.427582910980716,1.2991369842534461,1.0988701948171247,0.4883720930232558,0.5232558139534884,0.5116279069767442,True,R500,sweep,0.75,real,touch3
R500|sweep|T3,8,86,0.05929446660377655,0.0969553485228622,1.7537878335226131,1.7881854590051782,0.9807639496734855,0.5930232558139535,0.5930232558139535,0.5116279069767442,True,R500,sweep,0.75,real,touch3
R500|sweep|T3,16,86,0.05240013580142535,0.2414525379991717,2.418475803186764,2.468633213033726,0.979682113332129,0.7325581395348837,0.6511627906976745,0.5581395348837209,True,R500,sweep,0.75,real,touch3
R500|sweep|T3,32,86,-0.39950617107488323,-0.1721592940873793,3.3896826602847896,3.895531634586372,0.8701463569669372,0.7674418604651163,0.7790697674418605,0.4883720930232558,True,R500,sweep,0.75,real,touch3
R500|sweep|T3,64,86,-1.0079529223516361,-0.004360588599664064,4.500289791778043,5.863004889240244,0.767573944895893,0.8604651162790697,0.813953488372093,0.5,True,R500,sweep,0.75,real,touch3
R500|sweep|above_ema,4,58,-0.028464696373134972,0.15730209898180852,1.4412491122718611,1.3717301251882106,1.0506797844613291,0.5172413793103449,0.5862068965517241,0.5172413793103449,True,R500,sweep,0.75,real,above_ema
R500|sweep|above_ema,8,58,-0.05378625973673539,0.0007373771140743932,1.7036392557717839,1.8062665863477083,0.9431826224591586,0.5689655172413793,0.6206896551724138,0.5,True,R500,sweep,0.75,real,above_ema
R500|sweep|above_ema,16,58,-0.11859509992772774,0.11523259260349689,2.473147440363509,2.6446967917169566,0.9351345863576005,0.7068965517241379,0.6551724137931034,0.5172413793103449,True,R500,sweep,0.75,real,above_ema
R500|sweep|above_ema,32,58,-0.5300655100790371,-1.0128177762058672,3.4671688755176384,3.9294294617809524,0.8823593626608068,0.7413793103448276,0.7586206896551724,0.43103448275862066,True,R500,sweep,0.75,real,above_ema
R500|sweep|above_ema,64,58,-0.7229002494329414,-0.6496191029365386,4.376221753367922,5.426369405935973,0.8064732468417499,0.8448275862068966,0.8275862068965517,0.43103448275862066,True,R500,sweep,0.75,real,above_ema
R500|sweep|below_ema,4,39,0.39803682531714035,0.15899589874817235,1.4632927301874559,1.1786435346211583,1.2415057540342678,0.5128205128205128,0.46153846153846156,0.5384615384615384,True,R500,sweep,0.75,real,below_ema
R500|sweep|below_ema,8,39,0.30885245044293275,0.11478999674138846,1.8395992268677348,1.61826774893519,1.1367706166536282,0.6666666666666666,0.5641025641025641,0.5128205128205128,True,R500,sweep,0.75,real,below_ema
R500|sweep|below_ema,16,39,0.23498167859322608,0.42684087075307336,2.3504098742991495,2.394408786087721,0.9816243107508545,0.7948717948717948,0.6666666666666666,0.5897435897435898,True,R500,sweep,0.75,real,below_ema
R500|sweep|below_ema,32,39,-0.27537454813606477,0.40860483388425606,3.449356038070423,3.9086770836938425,0.8824868271826272,0.8461538461538461,0.8205128205128205,0.5384615384615384,True,R500,sweep,0.75,real,below_ema
R500|sweep|below_ema,64,39,-1.2855451665452693,0.3921558945042148,4.7301381835075835,6.26677141542379,0.7547966680044781,0.9230769230769231,0.8205128205128205,0.5641025641025641,True,R500,sweep,0.75,real,below_ema
R500|break,4,93,-0.24129030660165052,-0.23635996947470547,1.4862251588040791,1.6940461163812364,0.8773227271869686,0.5161290322580645,0.6236559139784946,0.41935483870967744,True,R500,break,0.75,real,all
R500|break,8,93,0.03835337541655708,-0.11690459642392824,2.12890649328659,2.1542878805995644,0.9882182007606567,0.6236559139784946,0.7096774193548387,0.4838709677419355,True,R500,break,0.75,real,all
R500|break,16,93,-0.00408226464725473,-0.055173168367342165,2.8324172240537657,2.8753303051247308,0.985075425597372,0.6881720430107527,0.7849462365591398,0.4946236559139785,True,R500,break,0.75,real,all
R500|break,32,93,0.2123366133207996,-0.09155670630324905,3.6434795525873893,3.4433884616850112,1.0581087766102533,0.7741935483870968,0.8279569892473119,0.4731182795698925,True,R500,break,0.75,real,all
R500|break,64,93,0.006260903419366598,-0.49827028625968783,5.361551943278672,5.342642707080029,1.0035393039054594,0.8387096774193549,0.9032258064516129,0.46236559139784944,True,R500,break,0.75,real,all
R500|break|T1,4,10,0.6903717017859073,-0.40291850002431917,2.1002989386810076,1.8857678907009112,1.1137632309034378,0.4,0.8,0.3,True,R500,break,0.75,real,touch1
R500|break|T1,8,10,0.5922634951529328,-0.3090391624365308,2.446971663614989,2.8414456800970513,0.8611713680662061,0.4,0.9,0.5,True,R500,break,0.75,real,touch1
R500|break|T1,16,10,1.0176673655972446,-0.09662381637679787,3.5699443178327734,2.986657410047983,1.1952975610200367,0.4,0.9,0.5,True,R500,break,0.75,real,touch1
R500|break|T1,32,10,1.5249290965221705,0.5261676242003729,4.423609692690562,3.3979586623130134,1.3018432924900212,0.5,0.9,0.6,True,R500,break,0.75,real,touch1
R500|break|T1,64,10,0.3346851322382078,-0.4982723398645608,7.579789985400081,5.371033226244415,1.4112349833106683,0.6,0.9,0.4,True,R500,break,0.75,real,touch1
R500|break|T2,4,5,-1.7268161896990322,-1.3103253045302445,0.9783201422941552,3.1681223477669755,0.30880125036323675,0.4,0.8,0.4,True,R500,break,0.75,real,touch2
R500|break|T2,8,5,-1.635576863757548,-0.8446140404235358,0.9783201422941552,3.3626333981422456,0.29093868598184025,0.4,0.8,0.4,True,R500,break,0.75,real,touch2
R500|break|T2,16,5,-2.187477976681387,-0.7471040254485386,1.277281193281276,4.090982634229706,0.31221867885581384,0.6,0.8,0.4,True,R500,break,0.75,real,touch2
R500|break|T2,32,5,-0.6464486474405178,0.08036833320229622,1.7315364975314331,4.280397437775749,0.40452703813204854,0.8,0.8,0.6,True,R500,break,0.75,real,touch2
R500|break|T2,64,5,-0.8669515717266961,0.5326287467585562,3.2182869390696838,5.289738354512552,0.608401913929115,1.0,0.8,0.6,True,R500,break,0.75,real,touch2
R500|break|T3,4,78,-0.2655081356835566,-0.22178705168428137,1.4400557650063908,1.5749743356103973,0.9143360196077623,0.5384615384615384,0.5897435897435898,0.4358974358974359,True,R500,break,0.75,real,touch3
