arm,budget,risk,n,wr,pf,cagr,dd,mar,mc_med,p30,p30_sd,pf_pre2025,pf2021,pf2022,pf2026,top1,top5,top10,long_share,avg_bars
V3 tol0.0 | A trail 3.0ATR,25.0,1.2219436645507809,393,37.913486005089055,1.1968313424417514,5.117524810188234,24.999829735390936,0.20470238655040218,16.917823388311504,0.9555555555555556,0.08314794192830982,1.101632037267896,0.673130925635605,0.7145480632534261,1.1107528624697858,10.741888191125769,39.41462832407039,60.13463135894561,100.0,22.890585241730278
V3 tol0.0 | A trail 3.0ATR,20.0,0.9532080078124999,393,37.913486005089055,1.1994177235581702,4.070064792652617,19.999745302284595,0.20350583125614546,13.387428021554408,0.044444444444444446,0.03142696805273545,1.105918261955684,0.6741006492448949,0.7157443114801959,1.1176585494364337,10.495538863242595,39.24436366447571,59.983538097757574,100.0,22.890585241730278
V3 tol0.0 | A trail 4.0ATR,25.0,1.7697650146484372,324,41.66666666666667,1.3103541164008492,8.726190021627044,24.998955888872818,0.34906217925329924,18.357698246083636,2.244444444444444,0.16629588385661978,1.1431938465731837,0.9074815342830214,0.6320530701365515,1.323456963205391,10.40919909627412,37.73631775397092,57.03929156745459,100.0,40.75
V3 tol0.0 | A trail 4.0ATR,20.0,1.3819430541992188,324,41.66666666666667,1.3111564030672729,6.908351485550157,19.99940641962113,0.3454278262365063,14.56428697151406,0.11111111111111112,0.03142696805273545,1.1488360116474485,0.9118478109343182,0.6326863523101253,1.3382258305072627,9.860653097659833,37.30737632821047,56.75188377701081,100.0,40.75
V3 tol0.0 | A trail 5.0ATR,25.0,1.7421243286132813,269,41.63568773234201,1.623021787095408,16.508520979897344,24.99920784472588,0.660361763558047,15.588482342787607,0.48888888888888893,0.12570787221094182,1.5447883915420322,0.658531523085582,0.7701033677304049,1.1201730113520834,13.208702240941582,43.62768636528695,61.32452226651769,100.0,63.71375464684015
V3 tol0.0 | A trail 5.0ATR,20.0,1.3629476928710935,269,41.63568773234201,1.6375151436506128,12.993163268749486,19.999259020691294,0.6496822334920869,12.360220761108799,0.044444444444444446,0.06285393610547088,1.5637631518403787,0.6594380343060824,0.7724210300084142,1.1273274115979626,13.805642857750275,44.079008070056645,61.28402147913201,100.0,63.71375464684015
V3 tol0.0 | B 1.5R tgt,25.0,1.5297659301757813,379,45.64643799472295,1.1824428032183436,7.714557539338585,24.999724839976174,0.30858569799146385,23.215306900684322,14.511111111111111,0.4755763235340605,1.0434251376758579,1.2368447523011183,0.6920853725799446,0.8735270656317154,2.923659350734716,16.42072090214475,30.218545904084355,100.0,17.100263852242744
V3 tol0.0 | B 1.5R tgt,20.0,1.1940594482421876,379,45.64643799472295,1.1806643159270622,6.15963279703311,19.999864635927032,0.3079837243482223,18.488615937636755,2.6,0.2721655269759086,1.0471801920972215,1.243107669112995,0.6925354228493282,0.8759185526934633,2.643650584300882,15.047821219503481,28.304887505932427,100.0,17.100263852242744
V3 tol0.0 | B 2R tgt,25.0,0.9589309692382812,369,38.21138211382114,1.1711156470611492,5.025541193660565,24.99850514490464,0.20103366839456416,17.579533149461678,1.4000000000000001,0.23726840560069584,0.9950524765516897,1.0094115207291048,0.7059277537765194,0.9716488856712728,3.0839221186651744,17.526401675232307,32.19187628159724,100.0,22.67208672086721
V3 tol0.0 | B 2R tgt,20.0,0.7511996459960937,369,38.21138211382114,1.168768266023376,4.010907629016414,19.997439930655815,0.20057105524131338,13.9829227950449,0.1111111111111111,0.0628539361054709,0.998445814155244,1.0125423585684845,0.7070038565169258,0.9744856078351526,2.870438269661762,16.48550852005606,30.799108366872773,100.0,22.67208672086721
V3 tol0.0 | B 3R tgt,25.0,1.18991943359375,347,31.70028818443804,1.3342118194667472,13.439522520836643,24.998337359089664,0.5376166553712777,21.177136371446363,6.711111111111111,0.48787774222444724,1.168327362101391,1.1178960792367791,0.7571154717956128,1.0193874723452472,4.921215011577214,24.775551465801737,43.135591860151976,100.0,32.29106628242075
V3 tol0.0 | B 3R tgt,20.0,0.9407879638671873,347,31.70028818443804,1.3308410917312228,10.714298333940132,19.99816839491279,0.5357639820987644,17.041059759569773,0.9777777777777779,0.06285393610547083,1.1721755027885827,1.1230781723927914,0.7596140988015236,1.0244042928908674,4.414729863239957,22.73300799750572,40.62045753462907,100.0,32.29106628242075
V3 tol0.0 | C time 32 + 4ATR,25.0,1.3687924194335936,327,50.764525993883794,1.2330799773894683,5.243481849014842,24.998710110748597,0.20975009613637316,14.832740114116353,0.24444444444444446,0.13698697784375505,1.1342266207154863,0.819054937215331,0.6384609054039968,0.6383737264644588,7.176082898351245,29.289158757878408,47.762100068108495,100.0,27.382262996941897
V3 tol0.0 | C time 32 + 4ATR,20.0,1.0687631225585936,327,50.764525993883794,1.2346020872317307,4.150518895288147,19.99984854887702,0.20752751627817684,11.717751249284897,0.0,0.0,1.1372294459316892,0.8206674557105954,0.638742532262537,0.6381450989811015,7.270825573999543,29.352030979814774,47.84068095620446,100.0,27.382262996941897
V3 tol0.0 | C time 64 + 4ATR,25.0,1.6201156616210932,278,46.76258992805755,1.3506099633355038,10.179285542805761,24.99938766305538,0.4071813950006833,18.62690565927843,2.6444444444444444,0.031426968052735545,1.1469280221931386,0.7836099123537508,0.7101357314621164,0.9093709192849416,8.58474744021304,29.547512945100568,47.638313764307206,100.0,48.2410071942446
