ft,st,fast,slow,side,rise,win,exit,n,wr,pf1,net1,dd1,top10,pf2,net2
SMA,SMA,8,21,long,False,cash10-16,cross,1046,37.2848948374761,0.9080686536663846,-1691.4999999999864,3075.2999999999884,-117.84806384865597,0.8083012864359295,-3783.4999999999864
SMA,SMA,8,21,long,False,cash10-16,cross+3ATR,1697,29.994107248084855,0.7263804641594452,-7015.418399829559,7720.439278677339,-29.208521619320408,0.6289852807103512,-10409.41839982956
SMA,SMA,8,21,long,True,all-day,cross,1612,27.60545905707196,0.7236049672227262,-6223.199999999984,6706.499999999981,-30.267386553541623,0.6203885640809278,-9447.199999999984
SMA,SMA,8,21,long,True,all-day,cross+3ATR,2180,24.724770642201836,0.6050477829399845,-11334.494555926092,11628.27294538601,-16.61829727568383,0.5101072765855839,-15694.494555926092
SMA,SMA,8,21,long,True,cash10-16,cross,1258,29.570747217806044,0.7766167117080234,-4091.599999999984,4629.499999999984,-43.7383908495455,0.6715855604208816,-6607.599999999984
SMA,SMA,8,21,long,True,cash10-16,cross+3ATR,1695,26.902654867256636,0.6573124912367471,-7923.735574976702,8237.797383845595,-22.585306930882265,0.5588470673181808,-11313.735574976701
SMA,SMA,8,21,both,False,all-day,cross,2533,32.88590604026846,0.7619034092150636,-10896.299999999981,12082.599999999984,-24.253186861595264,0.6757501767272553,-15962.299999999981
SMA,SMA,8,21,both,False,all-day,cross+3ATR,4246,26.3777673104098,0.6100740614339577,-25001.25300402964,25614.301099926368,-10.608268311882307,0.5246625442191671,-33493.25300402964
SMA,SMA,8,21,both,False,cash10-16,cross,2015,34.24317617866005,0.8294824459210868,-6571.8999999999805,8095.599999999981,-41.11900667995568,0.7428439755017892,-10601.89999999998
SMA,SMA,8,21,both,False,cash10-16,cross+3ATR,3546,27.241962774957702,0.6635886372024441,-18784.65816751012,19464.847371539225,-14.412825486932253,0.5762520691652477,-25876.65816751012
SMA,SMA,8,21,both,True,all-day,cross,3209,26.23870364599564,0.6750601415301414,-14803.999999999975,15259.79999999997,-17.10010807889762,0.578567343437232,-21221.99999999997
SMA,SMA,8,21,both,True,all-day,cross+3ATR,4340,23.68663594470046,0.5696977058930843,-24802.18934527658,25096.471747964093,-10.206760237003461,0.4797605487904752,-33482.18934527658
SMA,SMA,8,21,both,True,cash10-16,cross,2507,28.36059034702832,0.7281205145380236,-9944.39999999997,10397.699999999968,-24.71240094927806,0.6280910777064493,-14958.399999999972
SMA,SMA,8,21,both,True,cash10-16,cross+3ATR,3389,25.99586898790204,0.6256566692498259,-17242.10651638657,17533.842146841867,-14.252898841939286,0.5304198744451188,-24020.10651638657
SMA,SMA,10,30,long,False,all-day,cross,886,34.19864559819413,0.7795997615241358,-4177.399999999985,4481.299999999982,-54.29932493895745,0.7045552735994762,-5949.399999999985
SMA,SMA,10,30,long,False,all-day,cross+3ATR,1666,26.110444177671067,0.6099611099967668,-10956.954911831723,11087.83667826816,-20.962941058739986,0.532916361135548,-14288.954911831723
SMA,SMA,10,30,long,False,cash10-16,cross,750,35.733333333333334,0.8194144244863494,-2907.499999999979,3428.6999999999807,-76.69131556319918,0.7419073384395578,-4407.499999999979
SMA,SMA,10,30,long,False,cash10-16,cross+3ATR,1338,27.65321375186846,0.6566477877687958,-7874.042050938531,8008.696937246266,-28.68158419005159,0.5762276623922393,-10550.042050938531
SMA,SMA,10,30,long,True,all-day,cross,1264,26.89873417721519,0.7318949755775865,-5000.399999999987,5270.199999999986,-40.99072074234071,0.6330902994385531,-7528.399999999987
SMA,SMA,10,30,long,True,all-day,cross+3ATR,1768,23.47285067873303,0.6111541656431422,-9598.379103496747,9757.920184848927,-21.354647257611255,0.5209644212038166,-13134.379103496747
SMA,SMA,10,30,long,True,cash10-16,cross,1000,28.599999999999998,0.7506389309191714,-3922.29999999998,4281.199999999983,-51.74514952961297,0.6550645629117096,-5922.29999999998
SMA,SMA,10,30,long,True,cash10-16,cross+3ATR,1412,24.645892351274785,0.6367398382986771,-7480.511828797856,7602.546332925152,-27.131833308338784,0.5467917003321272,-10304.511828797855
SMA,SMA,10,30,both,False,all-day,cross,1772,30.9255079006772,0.7045231161504113,-11333.39999999997,11417.29999999997,-24.750736760372053,0.6356471821396739,-14877.39999999997
SMA,SMA,10,30,both,False,all-day,cross+3ATR,3326,24.233313289236317,0.561701568595634,-24496.34274835392,24528.248892054962,-11.485796181509848,0.4892897397232513,-31148.342748353924
SMA,SMA,10,30,both,False,cash10-16,cross,1433,32.17027215631542,0.7666540310230326,-7694.699999999975,8939.19999999997,-36.65250107216664,0.6977968677119076,-10560.699999999975
SMA,SMA,10,30,both,False,cash10-16,cross+3ATR,2816,25.10653409090909,0.6158759966487682,-19030.503001300174,19268.431321421347,-14.81989204282889,0.5416411591691703,-24662.503001300174
SMA,SMA,10,30,both,True,all-day,cross,2499,24.289715886354543,0.6338091184042668,-14323.29999999998,14376.199999999977,-18.370068350170715,0.5500458773282164,-19321.29999999998
SMA,SMA,10,30,both,True,all-day,cross+3ATR,3532,21.37599093997735,0.5353203466032959,-23681.268811562582,23704.357472580272,-11.110891147501743,0.4565483894402363,-30745.26881156258
