year,S,k,round,config,n,pf,exp,net_R,net_usd,wr,dd,tp,sl,time,hold
2025-26,25.0,9,False,yotov,7618,0.7828492278668245,-0.16011615393526538,-1219.7648606788516,-10897.060000000001,28.87897085849304,1226.2938327210109,2209,5407,2,7.513716666666667
2025-26,25.0,10,False,yotov,7496,0.8042334456264031,-0.1431725648885865,-1073.2215464048445,-9655.268,29.4290288153682,1080.0333270491315,2215,5280,1,7.541833333333333
2025-26,25.0,11,False,yotov,7429,0.803623780355895,-0.14400097069614334,-1069.7832113016489,-9530.561,29.465607753398842,1102.2905009803487,2195,5233,1,7.399133333333333
2025-26,50.0,0,True,yotov,1931,0.8517765524768688,-0.10745677123950415,-207.4990252634825,-3486.255,29.104091144484723,246.6475869726441,561,1367,3,32.711533333333335
2025-26,50.0,0,True,no-filter,27278,0.12580261767404954,-1.3948562371871511,-38048.88843799111,-33966.325000000004,0.399589412713542,38048.88843799098,111,27167,0,0.0109
2025-26,50.0,0,True,tol-target,2028,0.8634113035427433,-0.0937117007499341,-190.04732912086635,-3180.0190000000002,32.84023668639053,224.24580321504945,666,1360,2,27.064233333333334
2025-26,50.0,0,True,wide-stop,1413,0.8665834871036024,-0.08812851672443127,-124.52559413162138,-2760.0319999999997,35.45647558386412,158.91584754674093,501,909,3,48.57985
2025-26,50.0,0,True,long-clock,1931,0.851943194690992,-0.10741285960996537,-207.41423190684313,-3484.6800000000003,29.052304505437597,248.33767284305785,562,1368,1,32.711533333333335
2025-26,50.0,1,False,yotov,1971,0.8477492941737124,-0.11050763979510896,-217.81055803615976,-3528.237,29.173008625063417,250.91162062676395,573,1394,4,32.217016666666666
2025-26,50.0,2,False,yotov,2032,0.8870612345522977,-0.08082932370938054,-164.24518577746124,-2643.8500000000004,30.068897637795278,197.86068999320702,610,1418,4,29.40034166666667
2025-26,50.0,3,False,yotov,2028,0.8754650706016788,-0.08951424275922351,-181.53488431570528,-2957.7340000000004,29.78303747534517,225.20970188703254,605,1420,3,31.728775
2025-26,50.0,4,False,yotov,2004,0.9033588600448698,-0.0689534520547363,-138.18271791769155,-2334.355,30.289421157684632,182.89535008828204,608,1393,3,29.423341666666666
2025-26,50.0,5,False,yotov,2019,0.9135368298540453,-0.061726435622471064,-124.62567352176907,-2236.8230000000003,30.55968301139178,177.95132035220843,617,1399,3,28.836516666666668
2025-26,50.0,6,False,yotov,2081,0.9195827835511095,-0.057342781633792916,-119.33032857992306,-2099.435,30.754444978375783,182.16698661367568,639,1440,2,28.548466666666666
2025-26,50.0,7,False,yotov,2060,0.8962984649332877,-0.0744970894976523,-153.46400436516373,-2631.7560000000003,30.194174757281555,208.28445496033896,622,1435,3,30.8949
2025-26,50.0,8,False,yotov,1995,0.9447675716056849,-0.03891363638782228,-77.63270459370545,-1391.6009999999997,31.278195488721806,141.91122854456955,624,1368,3,29.377133333333333
2025-26,50.0,9,False,yotov,1972,0.9533266074324253,-0.032780604967191436,-64.64335299530151,-1153.5210000000002,31.49087221095335,103.84178934044522,622,1348,2,29.481783333333333
2025-26,50.0,10,False,yotov,2019,0.8850986967641746,-0.0825359814367804,-166.64014652085962,-2916.1139999999996,29.81674096087172,183.31893797369887,604,1412,3,31.006483333333332
2025-26,50.0,11,False,yotov,2007,0.8425494186078925,-0.11505841189567854,-230.92223267462683,-3933.559,28.749377179870457,258.71540454989093,577,1428,2,32.115316666666665
2025-26,100.0,0,True,yotov,528,0.9419911388339305,-0.040499915855624465,-21.383955571769718,-720.5420000000001,31.25,38.72956288034355,152,359,17,143.19818333333333
2025-26,100.0,0,True,no-filter,3363,0.19080816466632333,-1.2496507457058859,-4202.5754578088945,-6929.081,0.6244424620874219,4211.753928063848,20,3342,1,0.009316666666666666
2025-26,100.0,0,True,tol-target,542,0.9516797016744545,-0.03204381969115008,-17.367750272603345,-566.1589999999999,34.50184501845018,35.98541066406033,180,350,12,123.923625
