year,S,k,round,n,p,p_up,p_dn,unres
2024-25,25.0,11,False,89916,0.5011455135904622,0.5261812117843246,0.4760908747023876,18
2024-25,50.0,0,True,39317,0.5007503115700588,0.6274978390196776,0.37389312977099237,1621
2024-25,50.0,1,False,38901,0.5007069227012159,0.6193535125134899,0.38195658882830985,1411
2024-25,50.0,2,False,43929,0.5006487741583009,0.6400582533108815,0.36113135361632354,1139
2024-25,50.0,3,False,43518,0.5006663909187004,0.6211696604952451,0.38007447933428345,76
2024-25,50.0,4,False,48672,0.5005752794214333,0.6647633913900756,0.33627918447878985,324
2024-25,50.0,5,False,39562,0.5007077498609777,0.6279246045783011,0.37338795326961005,102
2024-25,50.0,6,False,45530,0.5006149791346365,0.5726518245290475,0.4285274860482489,336
2024-25,50.0,7,False,45500,0.5005934065934066,0.5596713243694525,0.441473924896667,204
2024-25,50.0,8,False,44747,0.500636914206539,0.5587972477884013,0.4424323720098368,976
2024-25,50.0,9,False,48641,0.5006064842416891,0.5252990258539192,0.475896676538335,1602
2024-25,50.0,10,False,43711,0.500606254718492,0.5531009879253568,0.44807067331899114,1204
2024-25,50.0,11,False,41769,0.500682324211736,0.6102043746709425,0.39107108641502203,1511
2024-25,100.0,0,True,17002,0.5003528996588636,0.8022339800117578,0.19818759562198424,2254
2024-25,100.0,1,False,24386,0.5002460428114492,0.7912601459375256,0.2090409385511527,14
2024-25,100.0,2,False,31004,0.5001935234163334,0.8116213078808203,0.18860498128790812,960
2024-25,100.0,3,False,26336,0.5002657958687727,0.733601579107197,0.26678821027043453,1124
2024-25,100.0,4,False,24347,0.500308046165852,0.5977993102315651,0.40274467910263784,1596
2024-25,100.0,5,False,20003,0.5003749437584363,0.6312212672396562,0.3694108232469741,4096
2024-25,100.0,6,False,17834,0.5004485813614444,0.7144938908194148,0.28621115224952315,3848
2024-25,100.0,7,False,17586,0.5004549073126351,0.7008070933272706,0.299920354989191,3082
2024-25,100.0,8,False,15392,0.5005197505197505,0.6901298701298701,0.31071242849713987,1640
2024-25,100.0,9,False,16724,0.5004185601530734,0.609371264642601,0.39136156975352954,1682
2024-25,100.0,10,False,18096,0.5003868258178603,0.6446089262041538,0.3560371517027864,1684
2024-25,100.0,11,False,18778,0.5003195228458834,0.6741190248057064,0.32637187000532764,2038
2024-25,250.0,0,True,5501,0.5002726776949645,0.9981831395348837,0.0018188432157148053,924
2024-25,250.0,1,False,4258,0.5002348520432128,1.0,0.0,1555
2024-25,250.0,2,False,2655,0.5005649717514125,1.0,0.0,4195
2024-25,250.0,3,False,2187,0.5006858710562414,1.0,0.0,6815
2024-25,250.0,4,False,2763,0.500542888165038,1.0,0.0,8495
2024-25,250.0,5,False,2847,0.5005268703898841,1.0,0.0,7032
2024-25,250.0,6,False,9129,0.5001643115346698,0.8613666228646518,0.13872452333990795,4896
2024-25,250.0,7,False,10483,0.500143088810455,0.9002479496471486,0.09980916030534351,4110
2024-25,250.0,8,False,12333,0.5001216249087813,0.9434176394293126,0.056609894566098946,1286
2024-25,250.0,9,False,7593,0.5001975503753457,0.9786729857819905,0.021343873517786563,662
2024-25,250.0,10,False,4429,0.5003386769022352,0.9584837545126353,0.04157252598282874,488
2024-25,250.0,11,False,4433,0.5003383713061132,0.9346257889990983,0.0654627539503386,2686
